id,title,overview,genres,keywords,cast,director,runtime,release_date,vote_average,vote_count,popularity,poster_path,backdrop_path,original_language
1668364,Desire,"Lucero’s life appears immaculate: a wealthy household, a devoted husband, and two children who embody the promise of a perfect family. Yet beneath this surface simmers a quiet dissatisfaction. When Matías, a young swimming coach hired by her husband, enters their lives, Lucero finds herself pulled into a risky and consuming relationship. As secrecy, desire, and jealousy tighten their grip, the boundaries within the family begin to collapse, placing mother and daughter in a dangerous emotional triangle that threatens to shatter everything Lucero has built.","['Mystery', 'Drama']",[],"['Ludwika Paleta', 'José María Yázpik', 'Óscar Casas', 'Leonardo Ortizgris', 'Matías Coronado', 'Pilar Pascual', 'Ivana Salomón', 'Gabriela Zamora', 'Jaydy Michel', 'Giovani Florido']",['Teresa Simone'],97,2026-05-07,6.754,213,73.5038,/3bEqHqeaQlFykaLQ7N4gDkIvL5w.jpg,/oBter8Y5p2ZFUwWgQ1T9pulGFTJ.jpg,es
1084242,Zootopia 2,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.","['Animation', 'Adventure', 'Comedy', 'Mystery', 'Family']","['snake', 'bunny', 'fox', 'cop', 'sequel', 'anthropomorphism', 'animals', 'displacement', 'buddy cop', 'buddy comedy', 'complex', 'playful', 'talking animal', '3d animation', 'embarrassed', 'excited']","['Ginnifer Goodwin', 'Jason Bateman', 'Ke Huy Quan', 'Fortune Feimster', 'Andy Samberg', 'David Strathairn', 'Idris Elba', 'Shakira', 'Patrick Warburton', 'Quinta Brunson']","['Jared Bush', 'Byron Howard']",108,2025-11-26,7.685,3244,85.4169,/oJ7g2CifqpStmoYQyaLQgEU32qO.jpg,/lgotja3xMoJZbynwHfcQcJAEMWH.jpg,en
1226863,The Super Mario Galaxy Movie,"Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade.","['Family', 'Comedy', 'Adventure', 'Fantasy', 'Animation']","['galaxy', 'friendship', 'sibling relationship', 'space travel', 'sequel', 'space', 'based on video game', 'buddy comedy', 'aftercreditsstinger', 'duringcreditsstinger', 'space adventure', 'father son relationship', 'parallel universe', 'brother brother relationship', 'talking animal', 'magic land', '3d animation', 'adoring']","['Chris Pratt', 'Charlie Day', 'Anya Taylor-Joy', 'Jack Black', 'Keegan-Michael Key', 'Donald Glover', 'Benny Safdie', 'Brie Larson', 'Glen Powell', 'Luis Guzmán']","['Michael Jelenic', 'Aaron Horvath']",98,2026-04-01,8.248,3421,78.3164,/eJGWx219ZcEMVQJhAgMiqo8tYY.jpg,/kxQiIJ4gVcD3K6o14MJ72p5yRcE.jpg,en
83533,Avatar: Fire and Ash,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.","['Science Fiction', 'Adventure', 'Fantasy']","['witch', 'clone', 'space war', 'tribe', 'sequel', 'alien', 'transhumanism', 'family', 'space adventure', 'motion capture', 'family dynamics', 'rival']","['Sam Worthington', 'Zoe Saldaña', 'Sigourney Weaver', 'Stephen Lang', 'Oona Chaplin', 'Jack Champion', 'Kate Winslet', 'Cliff Curtis', 'Joel David Moore', 'CCH Pounder']",['James Cameron'],198,2025-12-17,7.642,4106,80.8103,/bRBeSHfGHwkEpImlhxPmOcUsaeg.jpg,/sdZSjtGUTSN8B3al5o0f2WoQfQQ.jpg,en
1228710,The Mandalorian and Grogu,"The evil Empire has fallen, and Imperial warlords remain scattered throughout the galaxy. As the fledgling New Republic works to protect everything the Rebellion fought for, they have enlisted the help of legendary Mandalorian bounty hunter Din Djarin and his young apprentice Grogu.","['Action', 'Adventure', 'Science Fiction']","['galaxy', 'bounty hunter', 'spin off', 'space opera', 'nostalgic', 'space adventure', 'based on tv series', 'master apprentice relationship', 'bold']","['Pedro Pascal', 'Jeremy Allen White', 'Sigourney Weaver', 'Brendan Wayne', 'Lateef Crowder', 'Steve Blum', 'Jonny Coyne', 'Matthew Willig', 'Martin Scorsese', 'Hemky Madera']",['Jon Favreau'],132,2026-05-20,7.489,1228,77.6933,/7GV5rrUJf0BRUhoh2cyFoeNthlQ.jpg,/MJcERawyqGqJdPsOBc0C449hQ9.jpg,en
1101383,The End of Oak Street,"After a mysterious cosmic event rips Oak Street from suburbia and transports their neighborhood to someplace unknown, the Platt family soon discovers that their very survival depends on them sticking together as they navigate their now unrecognizable surroundings.","['Science Fiction', 'Mystery', 'Thriller']","['family relationships', 'survival', 'dinosaur', 'neighborhood', '1980s', 'survival adventure']","['Anne Hathaway', 'Ewan McGregor', 'Christian Convery', 'Maisy Stella', 'Jordan Alexa Davis', 'P.J. Byrne', 'Bethany Anne Lind', 'Emily Kuroda', 'Denitra Isler', 'Hudson Meek']",['David Robert Mitchell'],100,2026-08-12,7.0,44,112.6153,/3SifFCwwFzXdU1Ew0nA4Z92Bs15.jpg,/b9q9VmbXDvJmTziRqkwdEmFdwhr.jpg,en
559,Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villains—including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.","['Action', 'Adventure', 'Science Fiction']","['amnesia', 'dual identity', ""love of one's life"", 'loss of loved one', 'forgiveness', 'hostility', 'superhero', 'sandstorm', 'spider', 'wretch', 'sand', 'narcissism', 'egomania', 'based on comic', 'sequel', 'revenge', 'symbiote', 'amused']","['Tobey Maguire', 'Kirsten Dunst', 'James Franco', 'Thomas Haden Church', 'Topher Grace', 'Bryce Dallas Howard', 'Rosemary Harris', 'J.K. Simmons', 'James Cromwell', 'Dylan Baker']",['Sam Raimi'],139,2007-05-01,6.472,15539,79.212,/sJMTTGjtjvrMZ7G0oP9D13wNUum.jpg,/FfAU0PUs8AJkMU2VbkVNFtRXR4.jpg,en
1439930,The Punisher: One Last Kill,"As Frank Castle searches for meaning beyond revenge, an unexpected force pulls him back into the fight.","['Action', 'Drama', 'Crime']","['new york city', 'post-traumatic stress disorder (ptsd)', 'gun', 'anti hero', 'hallucination', 'based on comic', 'revenge', 'one man army', 'death of family', 'mental health', 'marvel cinematic universe (mcu)', 'hunted', 'aggressive', 'vigilante justice']","['Jon Bernthal', 'Deborah Ann Woll', 'Jason R. Moore', 'Judith Light', 'Kelli Barrett', 'Andre Royo', 'John Douglas Thompson', 'Colton Hill', 'Nick Koumalatsos', 'Addie Bernthal']",['Reinaldo Marcus Green'],51,2026-05-12,8.297,2051,76.7083,/qQclTgLMDvGBuUBFGHRipxkEwWR.jpg,/qO55CD8tgVL1T4WKn6zYFFiD6lL.jpg,en
24428,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!","['Science Fiction', 'Action', 'Adventure']","['new york city', 'superhero', 'shield', 'based on comic', 'alien invasion', 'superhero team', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)']","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Tom Hiddleston', 'Clark Gregg', 'Cobie Smulders', 'Stellan Skarsgård']",['Joss Whedon'],143,2012-04-25,8.065,39185,82.2066,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,/9BBTo63ANSmhC4e6r62OJFuK2GL.jpg,en
1569947,The Priest: Thanksgiving Massacre,"A family gather to spend Thanksgiving at an isolated cabin, unaware that the site has a horrific history of murder and cannibalism and that the Priest responsible did not rest in peace. Now they are on the menu for Thanksgiving dinner.",['Horror'],"['thanksgiving', 'cannibalism', 'pilgrims', 'killer priest']","['Jo Krayer', 'Liz Soutar', 'Holly Higbee', 'Brooklyn Ross', 'Dani Thompson', 'Mark Topping', 'Melody Smith']",['Steve Lawson'],83,2025-08-08,3.481,52,78.5082,/AiRySv62247N91mfCCAryACGNuv.jpg,/1ldfkNbf3joNG8mA6idXoEL1fZV.jpg,en
