id,title,overview,genres,keywords,cast,director,runtime,release_date,vote_average,vote_count,popularity,poster_path,backdrop_path,original_language,media_type,number_of_seasons,number_of_episodes
1083381,Backrooms,A strange doorway appears in the basement of a furniture showroom.,"['Horror', 'Mystery', 'Science Fiction']","['california', 'monster', 'therapist', 'surrealism', 'childhood trauma', 'alcoholism', 'found footage', '1990s', 'other dimension', 'based on web series', 'psychological', 'liminal', 'body horror', 'psychological horror', 'liminal space', 'analog horror', 'sci-fi horror', 'bewildered', 'foreboding', 'liminal horror']","['Chiwetel Ejiofor', 'Renate Reinsve', 'Finn Bennett', 'Lukita Maxwell', 'Mark Duplass', 'Avan Jogia', 'Robert Bobroczkyi', 'Ember Ambrose', 'Krista Kosonen', 'Philip Granger']",['Kane Parsons'],111.0,2026-05-27,7.1,2710,162.347,/rhGx6E3qRNMgj3i5su2oukNHwIQ.jpg,/dqmMWNWfLnExDRpMtIMqI97GQFR.jpg,en,movie,,
200709,Weak Hero,"With the aid of unexpected friends, a gifted but introverted student confronts bullies and violent foes — unaware of how dangerous his world will become.","['Action & Adventure', 'Drama']","['male friendship', 'friendship', 'bullying', 'gang', 'bromance', 'high school student', 'skilled fighter', 'based on webcomic or webtoon', 'youth', 'school bullying', 'violence', 'enthusiastic']","['Park Ji-hoon', 'Choi Hyun-wook', 'Hong Kyung', 'Ryeoun', 'Choi Min-yeong', 'Yoo Su-bin', 'Cha Woo-min', 'Bae Na-ra', 'Lee Min-jae', 'Lee Jun-young']","['Yoo Soo-min', 'Han Jun-hee']",84.0,2022-11-18,8.699,502,51.1978,/5Sd01WeraL2oA3Vv6O4rcRxockn.jpg,/q5mJ4oKfGc6Cr9reIHFzD0pQzre.jpg,ko,tv,2.0,16.0
194583,The Walking Dead: Dead City,"Maggie and Negan travel to post-apocalyptic Manhattan - long ago cut off from the mainland. The crumbling city is filled with the dead and denizens who have made it a world full of anarchy, danger, beauty, and terror.","['Action & Adventure', 'Drama', 'Sci-Fi & Fantasy']","['post-apocalyptic future', 'survival', 'zombie', 'spin off', 'based on graphic novel', 'manhattan, new york city', 'depressing', 'cliché']","['Lauren Cohan', 'Jeffrey Dean Morgan', 'Željko Ivanek', 'Lisa Emery', 'Raúl Castillo', 'Logan Kim', 'Aimee Garcia', 'Jimmi Simpson']",['Eli Jorné'],,2023-06-18,7.903,771,73.8098,/wq3vuQzQgbS83zX3malAFWMsSwX.jpg,/vV5LKWmuysEe5wsuZJGbdiL5XJ2.jpg,en,tv,3.0,22.0
32798,Hawaii Five-0,"Steve McGarrett returns home to Oahu, in order to find his father's killer. The governor offers him the chance to run his own task force (Five-0). Steve's team is joined by Chin Ho Kelly, Danny ""Danno"" Williams, and Kono Kalakaua.","['Crime', 'Drama', 'Action & Adventure']","['hawaii', 'remake', 'task force', 'criminal investigation']","[""Alex O'Loughlin"", 'Scott Caan', 'Ian Anthony Dale', 'Meaghan Rath', 'Beulah Koale', 'Dennis Chun', 'Kimee Balmilero', 'Chi McBride', 'Taylor Wily', 'Katrina Law']","['Roberto Orci', 'Alex Kurtzman', 'Peter M. Lenkov']",42.0,2010-09-20,7.727,1888,107.9382,/sIdCKlmM2nU4akIvFQaAIiU8YES.jpg,/tLccUh3uazZ9TkLhe53UwprJhI4.jpg,en,tv,10.0,240.0
71712,The Good Doctor,"Shaun Murphy, a young surgeon with autism and savant syndrome, relocates from a quiet country life to join a prestigious hospital's surgical unit. Unable to personally connect with those around him, Shaun uses his extraordinary medical gifts to save lives and challenge the skepticism of his colleagues.",['Drama'],"['nurse', 'san francisco, california', 'medicine', 'autism', 'remake', 'hospital', ""asperger's syndrome"", 'medical drama', 'medical', 'based on tv series', 'cliché']","['Freddie Highmore', 'Fiona Gubelmann', 'Will Yun Lee', 'Christina Chang', 'Paige Spara', 'Bria Samoné Henderson', 'Noah Galvin', 'Chuku Modu', 'Richard Schiff']",['David Shore'],,2017-09-25,8.454,12901,88.7826,/luhKkdD80qe62fwop6sdrXK9jUT.jpg,/f3cin9kOz4nOrlYEMxGFQhv4bdN.jpg,en,tv,7.0,126.0
36,Medium,Allison Dubois works in the District Attorney’s office using her natural intuition about people and her ability to communicate with the dead to help to solve crimes. Her dreams often give her clues to the whereabouts of missing people.,"['Crime', 'Drama', 'Mystery', 'Sci-Fi & Fantasy']","['medium', 'psychic power', 'paranormal', 'criminal consultant', 'phoenix, arizona']","['Patricia Arquette', 'Jake Weber', 'Miguel Sandoval', 'David Cubitt', 'Sofia Vassilieva', 'Feodor Lark']",['Glenn Gordon Caron'],,2005-01-03,7.472,579,39.0959,/6tOxspW2MbbAQ0s3jtfs8QATcx.jpg,/dVpAGo3TT2IjDyRuKwhNfe9E1A5.jpg,en,tv,7.0,128.0
290856,Marshals,"With the Yellowstone Ranch behind him, Kayce Dutton joins an elite unit of U.S. Marshals, combining his skills as a cowboy and Navy SEAL to bring range justice to Montana, where he and his teammates must balance family, duty and the high psychological cost that comes with serving as the last line of defense in the region's war on violence.","['Drama', 'Crime', 'Action & Adventure']","['montana', 'u.s. marshal', 'spin off', 'cowboy', 'police procedural', 'based on tv series']","['Luke Grimes', 'Logan Marshall-Green', 'Arielle Kebbel', 'Ash Santos', 'Tatanka Means', 'Brecken Merrill', 'Mo Brings Plenty', 'Gil Birmingham']",['Spencer Hudnut'],,2026-03-01,7.936,346,43.7111,/nInfaveN1iFpRIcMGNKENoVVUT2.jpg,/ihT4s15wPjqXLblKlE6cwBhJVz4.jpg,en,tv,2.0,14.0
10283,Archer,Smart-mouthed superspy Sterling Archer and his dysfunctional team of secret agents turn dangerous missions into messy misadventures around the globe.,"['Comedy', 'Action & Adventure', 'Animation']","['spy', 'central intelligence agency (cia)', 'secret agent', 'workplace', 'dark comedy', 'drugs', 'adult animation', 'sitcom', 'workplace comedy', 'deadpan', 'spies', 'witty', 'action', 'assertive', 'melodramatic']","['H. Jon Benjamin', 'Judy Greer', 'Amber Nash', 'Chris Parnell', 'Aisha Tyler', 'Lucky Yates']",['Adam Reed'],22.0,2009-09-17,7.94,1460,40.6269,/vhnrkTGYPqcB63ALcSJm0WoaKHT.jpg,/c4dymvMQT45P1j9RnscRyeyyqSg.jpg,en,tv,14.0,140.0
157741,Landman,"Set in the proverbial boomtowns of West-Texas and a modern-day tale of fortune-seeking in the world of oil rigs, the series is an upstairs/downstairs story of roughnecks and wildcat billionaires that are fueling a boom so big it’s reshaping our climate, our economy and our geopolitics.",['Drama'],"['texas', 'oil industry', 'upstairs downstairs', 'oil boom', 'based on podcast', 'inspirational', 'western', 'dramatic', 'hilarious']","['Billy Bob Thornton', 'Demi Moore', 'Andy Garcia', 'Ali Larter', 'Jacob Lofland', 'Michelle Randolph', 'Paulina Chávez', 'Kayla Wallace', 'Mark Collie', 'James Jordan']","['Taylor Sheridan', 'Christian Wallace']",,2024-11-17,8.164,603,54.2227,/hYthRgS1nvQkGILn9YmqsF8kSk6.jpg,/mh2UczqEXJJVgqohbyZbHTuxwhL.jpg,en,tv,3.0,20.0
45,Top Gear,"This fast-paced and stunt-filled motor show tests whether cars, both mundane and extraordinary, live up to their manufacturers' claims. The long-running show travels to locations around the world, performing extreme stunts and challenges to see what the featured cars are capable of doing. The current hosts are Paddy Mcguinness, Chris Harris and Andrew ""Freddie"" Flintoff.","['Reality', 'Talk']","['friendship', 'travel', 'racing', 'race', 'supercar', 'magazine show', 'inspirational']","['Chris Harris', 'Paddy McGuinness', 'Andrew Flintoff']","['Andy Wilman', 'Jeremy Clarkson']",60.0,2002-10-20,7.584,889,52.6345,/aqM6QnuhSXzjHlKbXyKUqxaGiWu.jpg,/bJROfBstoARn6vOqqPylYLpGYDH.jpg,en,tv,33.0,218.0
71728,Young Sheldon,"The early life of child genius Sheldon Cooper, later seen in The Big Bang Theory.","['Comedy', 'Family', 'Drama']","['prequel', 'family relationships', 'coming of age', 'school', 'sibling', 'family', 'nostalgic', 'sitcom', '1980s', 'knowledge', 'kid genius', 'lighthearted', 'dramatic', 'admiring', 'amused', 'empathetic']","['Iain Armitage', 'Zoe Perry', 'Lance Barber', 'Montana Jordan', 'Raegan Revord', 'Annie Potts', 'Emily Osment', 'Jim Parsons']","['Steven Molaro', 'Chuck Lorre']",,2017-09-25,8.026,3057,81.0953,/kidkbZRBGbsEIrX7pODRSKi9ipl.jpg,/nlDBlCtorM7nx130wYnfR5ZmyLX.jpg,en,tv,7.0,141.0
157744,1923,"Follow a new generation of the Dutton family during the early twentieth century when pandemics, historic drought, the end of Prohibition and the Great Depression all plague the mountain west, and the Duttons who call it home.","['Drama', 'Western']","['africa', 'montana', 'sequel', 'prequel', 'range war', 'cattle ranch', 'yellowstone', '1920s', 'big game hunter', '20th century', 'gritty', 'western', 'indian residential school system']","['Helen Mirren', 'Harrison Ford', 'Brandon Sklenar', 'Julia Schlaepfer', 'Jerome Flynn', 'Darren Mann', 'Isabel May', 'Brian Geraghty', 'Aminah Nieves', 'Michelle Randolph']",['Taylor Sheridan'],,2022-12-18,8.259,816,38.7863,/zgZRJZvZn5cpsWAB0zMUdad3iZd.jpg,/vIioWssbxRtEkIzgj8r0pCWYkYM.jpg,en,tv,2.0,15.0
2098,Batman: The Animated Series,"Vowing to avenge the murder of his parents, Bruce Wayne devotes his life to wiping out crime in Gotham City as the masked vigilante ""Batman"".","['Action & Adventure', 'Animation', 'Drama', 'Mystery']","['detective', 'asylum', 'race against time', 'cartoon', 'superhero', 'based on comic', 'organized crime', 'super power', 'super villain', 'death of parent', 'dc animated universe (dcau)']",['Kevin Conroy'],"['Bruce Timm', 'Eric Radomski']",,1992-09-05,8.583,1873,47.1956,/lBomQFW1vlm1yUYMNSbFZ45R4Ox.jpg,/4QnFxk03yAn7U2ZTL5oMCCqxlPc.jpg,en,tv,4.0,85.0
52,That '70s Show,"Crank up the 8-track and flash back to a time when platform shoes and puka shells were all the rage in this hilarious retro-sitcom. For Eric, Kelso, Jackie, Hyde, Donna and Fez, a group of high school teens who spend most of their time hanging out in Eric’s basement, life in the ‘70s isn’t always so groovy. But between trying to figure out the meaning of life, avoiding their parents, and dealing with out-of-control hormones, they’ve learned one thing for sure: they’ll always get by with a little help from their friends.","['Comedy', 'Family', 'Drama']","['1970s', 'small town', 'self-discovery', 'friendship', 'family relationships', 'group of friends', 'teenage romance', 'sitcom', 'period sitcom']","['Mila Kunis', 'Danny Masterson', 'Laura Prepon', 'Wilmer Valderrama', 'Debra Jo Rupp', 'Kurtwood Smith', 'Don Stark', 'Tommy Chong', 'Josh Meyers']","['Mark Brazill', 'Bonnie Turner', 'Terry Turner']",25.0,1998-08-23,7.927,1633,40.6421,/laEZvTqM80UaplUaDSCCbWhlyEV.jpg,/rf2uHKzPniVL5LvSVxg5ACxv4cS.jpg,en,tv,8.0,200.0
